baseOrig,compOrig,baseCharStart,baseCharEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,compOrder,grp-ref-b,baseOrder,grp-ref-sifre-d,dam-lev,jac,lcs_len_char,lcs_str_char,lcc_distance,id
ref-sifre-d.1.2.33-ref-sifre-d.1.2.41,ref-b.2.1.2.32b.9.13-ref-b.2.1.2.32b.9.21,364,413,ref-sifre-d.1.2.33,ref-sifre-d.1.2.41,461668,461717,ref-b.2.1.2.32b.9.13,ref-b.2.1.2.32b.9.21,שנאמר שמעו הדבר הזה פרות הבשן אשר בהר שומרון ,שנאמר שמעו הדבר הזה פרות הבשן אשר בהר שומרון ,9,9,184,184.0,0,0.0,0.0,0.0,45,שנאמר שמעו הדבר הזה פרות הבשן אשר בהר שומרון ,0.0,6080000001
ref-sifre-d.1.3.47-ref-sifre-d.1.3.60,ref-b.4.4.11.98b.9.4-ref-b.4.4.11.98b.9.17,670,735,ref-sifre-d.1.3.47,ref-sifre-d.1.3.60,6335152,6335216,ref-b.4.4.11.98b.9.4,ref-b.4.4.11.98b.9.17,שאלו נא וראו אם יולד זכר מדוע ראיתי כל גבר ידיו על חלציו כיולדה ,שאלו נא וראו אם ילד זכר מדוע ראיתי כל גבר ידיו על חלציו כיולדה ,14,14,2979,2978.0,1,1.0,0.015625,0.0,63,שאלו נא וראו אם ילד זכר מדוע ראיתי כל גבר ידיו על חלציו כיולדה ,0.015625,6080000002
ref-sifre-d.1.5.25-ref-sifre-d.1.5.38,ref-b.2.3.5.56a.5.44-ref-b.2.3.5.56a.6.24,1152,1223,ref-sifre-d.1.5.25,ref-sifre-d.1.5.38,1120840,1120986,ref-b.2.3.5.56a.5.44,ref-b.2.3.5.56a.6.24,הולך אל דרום ביום וסובב אל צפון בלילה סובב סובב הולך הרוח אלו פני מזרח ופני מערב,מזרח ושוקעת בחצי מערב שנאמר הולך אל דרום וסובב אל צפון הולך אל דרום ביום וסובב אל צפון בלילה סובב סובב הולך הרוח אלו פני מזרח ופני מערב,17,28,320,320.0,3,3.0,0.4074074074074074,0.2142857142857143,80,הולך אל דרום ביום וסובב אל צפון בלילה סובב סובב הולך הרוח אלו פני מזרח ופני מערב,0.40740740740740744,6080000003
ref-sifre-d.1.5.25-ref-sifre-d.1.5.38,ref-b.4.3.2.25b.2.1-ref-b.4.3.2.25b.2.15,1152,1223,ref-sifre-d.1.5.25,ref-sifre-d.1.5.38,5595986,5596059,ref-b.4.3.2.25b.2.1,ref-b.4.3.2.25b.2.15,הולך אל דרום ביום וסובב אל צפון,שנאמר הולך אל דרום וסובב אל צפון וגו' הולך אל דרום ביום וסובב אל צפון,7,15,2384,2384.0,2,2.0,0.5507246376811594,0.25,31,הולך אל דרום ביום וסובב אל צפון,0.5507246376811594,6080000004
ref-sifre-d.1.8.70-ref-sifre-d.1.8.77,ref-b.3.1.6.65b.6.30-ref-b.3.1.6.65b.6.37,1922,1960,ref-sifre-d.1.8.70,ref-sifre-d.1.8.77,3057517,3057555,ref-b.3.1.6.65b.6.30,ref-b.3.1.6.65b.6.37,אל תוכח לץ פן ישנאך הוכח לחכם ויאהבך ,אל תוכח לץ פן ישנאך הוכח לחכם ויאהבך ,8,8,1230,1230.0,11,8.0,0.0,0.0,37,אל תוכח לץ פן ישנאך הוכח לחכם ויאהבך ,0.0,6080000005
ref-sifre-d.1.8.14-ref-sifre-d.1.8.25,ref-b.5.5.3.16b.6.2-ref-b.5.5.3.16b.6.10,1622,1681,ref-sifre-d.1.8.14,ref-sifre-d.1.8.25,8169016,8169059,ref-b.5.5.3.16b.6.2,ref-b.5.5.3.16b.6.10,אמר רבי טרפון העבודה אם יש בדור הזה מי שיכול לקבל תוכחה ,"א""ר טרפון אני אם יש בדור הזה שמקבל תוכחה ",12,9,3863,3863.0,8,8.0,0.35714285714285715,0.5714285714285714,36,אר טרפון  אם יש בדור הזה שקבל תוכחה ,0.3571428571428571,6080000006
ref-sifre-d.1.8.18-ref-sifre-d.1.9.1,ref-b.5.5.3.16b.6.30-ref-b.5.5.3.16b.8.8,1644,1970,ref-sifre-d.1.8.18,ref-sifre-d.1.9.1,8169147,8169403,ref-b.5.5.3.16b.6.30,ref-b.5.5.3.16b.8.8,אם יש בדור הזה שיודע להוכיח ואמר רבי_יוחנן_בן_נורי מעיד אני עלי שמים וארץ שהרבה פעמים לקה עקיבא על ידי שהייתי קובל עליו לפני רבן וכל שכן שהוספתי בו אהבה לקיים_מה_שנאמר אל תוכח לץ פן ישנאך הוכח לחכם ויאהבך בעא_מיניה_רבי_יהודה_בריה דר' שמעון תוכחה,אם יש בדור הזה שיודע להוכיח ואמר רבי_יוחנן_בן_נורי מעיד אני עלי שמים וארץ שהרבה פעמים לקה עקיבא על ידי שהייתי קובל עליו לפני רבן וכל שכן שהוספתי בו אהבה לקיים_מה_שנאמר אל תוכח לץ פן ישנאך הוכח לחכם ויאהבך בעא_מיניה_רבי_יהודה_בריה דר' שמעון תוכחה,42,42,3864,3864.0,9,9.0,0.0,0.0,245,אם יש בדור הזה שיודע להוכיח ואמר רבי_יוחנן_בן_נורי מעיד אני עלי שמים וארץ שהרבה פעמים לקה עקיבא על ידי שהייתי קובל עליו לפני רבן וכל שכן שהוספתי בו אהבה לקיים_מה_שנאמר אל תוכח לץ פן ישנאך הוכח לחכם ויאהבך בעא_מיניה_רבי_יהודה_בריה דר' שמעון תוכחה,0.0,6080000007
ref-sifre-d.1.14.93-ref-sifre-d.1.14.103,ref-b.3.1.6.63a.2.45-ref-b.3.1.6.63a.3.12,3083,3144,ref-sifre-d.1.14.93,ref-sifre-d.1.14.103,3045642,3045703,ref-b.3.1.6.63a.2.45,ref-b.3.1.6.63a.3.12,לאדם הראשון שאמרתי לו אעשה לו עזר כנגדו בטובה שהיטבתי לו ,אדם ואמר רבי_אלעזר_מאי_דכתיב אעשה לו עזר כנגדו זכה עוזרתו לא ,11,10,1225,1225.0,12,12.0,0.5245901639344263,0.6666666666666667,35,אדם ואמר ל אעשה לו עזר כנגדו ה ת ל ,0.42622950819672134,6080000008
ref-sifre-d.1.14.109-ref-sifre-d.1.14.118,ref-b.4.8.1.5b.1.7-ref-b.4.8.1.5b.1.16,3172,3217,ref-sifre-d.1.14.109,ref-sifre-d.1.14.118,6518702,6518748,ref-b.4.8.1.5b.1.7,ref-b.4.8.1.5b.1.16,האשה אשר נתת עמדי היא נתנה לי מן העץ ואוכל ,האשה אשר נתתה עמדי היא נתנה לי מן העץ ואוכל ,10,10,3196,3196.0,13,13.0,0.022727272727272728,0.0,43,האשה אשר נתת עמדי היא נתנה לי מן העץ ואוכל ,0.022727272727272707,6080000009
ref-sifre-d.1.18.129-ref-sifre-d.1.18.150,ref-b.5.5.3.15a.14.6-ref-b.5.5.3.15a.15.3,4201,4323,ref-sifre-d.1.18.129,ref-sifre-d.1.18.150,8161423,8161536,ref-b.5.5.3.15a.14.6,ref-b.5.5.3.15a.15.3,"נסיונות שנסו אבותינו הקב""ה במדבר ואלו הם ב' בים וב' במים וב' במן ב' בשליו ואחד במעשה העגל ואחד במדבר פארן ואחד ","נסיונות ניסו אבותינו להקב""ה שנים בים ושנים במים שנים במן שנים בשליו אחת בעגל ואחת במדבר פארן שנים בים אחת ",22,20,3862,3862.0,14,14.0,0.44144144144144143,0.4736842105263158,77,"נסיונות נסו אבותינו הקב""ה ם בים ו במים  במן  בשליו אח בעגל ואח במדבר פארן אח ",0.3063063063063063,6080000010
