baseOrig,compOrig,baseCharStart,baseCharEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,compOrder,grp-ref-y,baseOrder,grp-ref-sifre-d,dam-lev,jac,lcs_len_char,lcs_str_char,lcc_distance,id
ref-sifre-d.1.3.47-ref-sifre-d.1.3.52,ref-y.1.5.6.1.4.109-ref-y.1.5.6.1.4.114,670,695,ref-sifre-d.1.3.47,ref-sifre-d.1.3.52,479052,479077,ref-y.1.5.6.1.4.109,ref-y.1.5.6.1.4.114,שאלו נא וראו אם יולד זכר ,שאלו נא וראו אם יולד זכר ,6,6,319,319.0,0,0.0,0.0,0.0,25,שאלו נא וראו אם יולד זכר ,0.0,6070000001
ref-sifre-d.1.3.47-ref-sifre-d.1.3.52,ref-y.3.7.1.8.4.111-ref-y.3.7.1.8.4.116,670,695,ref-sifre-d.1.3.47,ref-sifre-d.1.3.52,2881615,2881640,ref-y.3.7.1.8.4.111,ref-y.3.7.1.8.4.116,שאלו נא וראו אם יולד זכר ,שאלו נא וראו אם יולד זכר ,6,6,2175,2175.0,1,0.0,0.0,0.0,25,שאלו נא וראו אם יולד זכר ,0.0,6070000002
ref-sifre-d.1.3.64-ref-sifre-d.1.3.69,ref-y.2.9.1.1.12.64-ref-y.2.9.1.1.12.69,749,780,ref-sifre-d.1.3.64,ref-sifre-d.1.3.69,1743996,1744028,ref-y.2.9.1.1.12.64,ref-y.2.9.1.1.12.69,ועת צרה היא ליעקב וממנה יוושע,ועת צרה היא ליעקב וממנה יוושע,6,6,1065,1065.0,2,2.0,0.0,0.0,29,ועת צרה היא ליעקב וממנה יוושע,0.0,6070000003
ref-sifre-d.1.5.25-ref-sifre-d.1.5.30,ref-y.2.2.5.1.13.64-ref-y.2.2.5.1.13.76,1152,1179,ref-sifre-d.1.5.25,ref-sifre-d.1.5.30,1161850,1161910,ref-y.2.2.5.1.13.64,ref-y.2.2.5.1.13.76,הולך אל דרום וסוב אל צפון הולך אל דרום ביום וסובב אל צפון,הולך אל דרום וסוב אל צפון הולך אל דרום ביום וסובב אל צפון,13,13,670,670.0,4,4.0,0.0,0.0,57,הולך אל דרום וסוב אל צפון הולך אל דרום ביום וסובב אל צפון,0.0,6070000004
ref-sifre-d.1.18.10-ref-sifre-d.1.18.27,ref-y.2.1.7.2.7.82-ref-y.2.1.7.2.7.104,3607,3694,ref-sifre-d.1.18.10,ref-sifre-d.1.18.27,993735,993853,ref-y.2.1.7.2.7.82,ref-y.2.1.7.2.7.104,לכל מה שעשיתם במעשה העגל קשה עלי מן הכל היה רבי אומר משל_למה_הדבר_דומה לאחד שעשה ,הייתה ויצאת מן_הכלל_ללמד לומר מה הכערה מיוחדת מעשה יחידי וחייבין עליה בפני עצמה אף כל מעש' ומעש' שיש בו לחייב עליו ,15,21,643,640.0,6,6.0,0.7478260869565218,0.8888888888888888,39,כל מה עית מעשה י ן ליה בי מ משמבו לח ע ,0.6608695652173913,6070000005
ref-sifre-d.1.18.111-ref-sifre-d.1.18.121,ref-y.2.4.1.1.5.93-ref-y.2.4.1.1.6.2,4112,4165,ref-sifre-d.1.18.111,ref-sifre-d.1.18.121,1495230,1495276,ref-y.2.4.1.1.5.93,ref-y.2.4.1.1.6.2,יבוא זהב משכן ויכפר על זהב העגל ר' יוסי ברבי חנינא ,יבוא זהב של כפרת ויכפר על זהבו של עגל רבי חני ,11,11,870,870.0,7,7.0,0.39215686274509803,0.5384615384615384,37,יבוא זהב שכ ויכפר על זהב עגל רבי חני ,0.27450980392156865,6070000006
ref-sifre-d.1.20.73-ref-sifre-d.1.20.80,ref-y.2.10.1.12.8.47-ref-y.2.10.1.12.8.53,4945,4987,ref-sifre-d.1.20.73,ref-sifre-d.1.20.80,1885438,1885471,ref-y.2.10.1.12.8.47,ref-y.2.10.1.12.8.53,מנוחתו אלא ירושלם שנאמר זאת מנוחתי עדי עד ,מנוחה זו ירושלם זאת מנוחתי עדי עד ,8,7,1167,1163.0,8,8.0,0.2619047619047619,0.5,31,מנוח  ירושלם זאת מנוחתי עדי עד ,0.26190476190476186,6070000007
ref-sifre-d.1.21.8-ref-sifre-d.1.21.13,ref-y.1.4.8.2.5.7-ref-y.1.4.8.2.5.12,5583,5616,ref-sifre-d.1.21.8,ref-sifre-d.1.21.13,432143,432176,ref-y.1.4.8.2.5.7,ref-y.1.4.8.2.5.12,וירכב אותו במרכבת המשנה אשר לו ,וירכב אותו במרכבת המשנה אשר לו ,6,6,289,289.0,9,9.0,0.0,0.0,31,וירכב אותו במרכבת המשנה אשר לו ,0.0,6070000008
ref-sifre-d.2.2.64-ref-sifre-d.2.2.72,ref-y.2.10.1.12.8.23-ref-y.2.10.1.12.8.30,6544,6584,ref-sifre-d.2.2.64,ref-sifre-d.2.2.72,1885328,1885361,ref-y.2.10.1.12.8.23,ref-y.2.10.1.12.8.30,כי לא באתם עד עתה אל המנוחה ואל הנחלה ,כי לא באתם עד עתה אל המנוחה נחלה ,9,8,1165,1163.0,10,10.0,0.13157894736842105,0.2857142857142857,33,כי לא באתם עד עתה אל המנוחה נחלה ,0.13157894736842102,6070000009
ref-sifre-d.2.3.110-ref-sifre-d.2.4.11,ref-y.2.9.4.5.4.24-ref-y.2.9.4.5.4.30,7461,7538,ref-sifre-d.2.3.110,ref-sifre-d.2.4.11,1815285,1815319,ref-y.2.9.4.5.4.24,ref-y.2.9.4.5.4.30,"שהשנה י""ב חודש ד""א ויהי בארבעים שנה בעשתי עשר חודש באחד לחודש מלמד שלא ",בעשתי עשרה שנה כאחד לחדש היה דבר ,14,7,1094,1094.0,11,11.0,0.704225352112676,0.5833333333333333,23,בעשתי עשר ש אחד לחדש   ,0.676056338028169,6070000010
