baseOrig,compOrig,baseCharStart,baseCharEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,compOrder,grp-ref-sifre-d,baseOrder,grp-ref-t,dam-lev,jac,id
ref-t.1.1.1.4.12-ref-t.1.1.1.5.1,ref-sifre-d.34.11.2-ref-sifre-d.34.13.3,1133,1519,ref-t.1.1.1.4.12,ref-t.1.1.1.5.1,47850,48181,ref-sifre-d.34.11.2,ref-sifre-d.34.13.3,והיה ר' ישמעאל מוטה ור' אלעזר בן עזריה זקוף הגיע זמן קרית שמע נזקף ר' ישמעאל והטה ר' אלעזר בן עזריה אמ' לו ר' ישמעאל מה זה אלעזר אמ' לו ישמעאל אחי לאחד או' לו מפני מה זקנך מגודל והוא או' להם יהיה כנגד המשחיתים אני שהייתי זקוף הטיתי אתה שהיית מוטה נזקפתה אמ' לו אתה הטיתה לקיים דברי בית שמאי ואני נזקפתי לקיים בית הלל דבר אחר שלא יראו התלמידים ויעשו קבע הלכה כדבריך למה אמרו ,"היה ר' ישמעאל דורש ורבי אלעזר בן עזריה זוקף הגיע זמן קרית שמע נזקף ר' ישמעאל והטה ר' אלעזר בן עזריה ואמר לו ר' ישמעאל מה זה אלעזר אמר לו ישמעאל אחי משל לאחד שאומרים לו מפני מה זקנך מגודל והוא אומר להם יהיה כנגד המשחיתים אמר לו אתה היטית כדברי בית שמאי ואני נזקפתי כדברי בית הלל ד""א שלא יקבע הדבר חובה שבית שמאי אומרים ",77,66,78,78.0,0,0.0,0.3048128342245989,0.3555555555555555,2060000001
ref-t.1.1.1.10.1-ref-t.1.1.1.10.56,ref-sifre-d.130.7.1-ref-sifre-d.130.7.59,2483,2776,ref-t.1.1.1.10.1,ref-t.1.1.1.10.56,165980,166283,ref-sifre-d.130.7.1,ref-sifre-d.130.7.59,תזכור את יום צאתך מארץ מצרים זו היא שאמר ר' אלעזר בן עזריה הרי אני כבן שבעים שנה ולא זכיתי שתאמר יציאת מצרים בלילות עד שדרשה בן זומא שנאמר למען תזכור את יום צאתך מארץ מצרים כל ימי חייך ימי חייך הימים כל ימי חייך הלילות וחכמים אומרים ימי חייך העולם הזה כל ימי חייך להביא לימות המשיח,למען תזכור את יום צאתך מארץ מצרים זו היא שאמר ר' אלעזר בן עזריה הרי אני כבן שבעים שנה ולא זכיתי שתאמר יציאת מצרים בלילות עד שדרשה בן זומא שנאמר למען תזכור את יום צאתך מארץ מצרים כל ימי חייך ימי חייך הימים כל ימי חייך הלילות וחכמים אומרים ימי חייך העולם הזה כל ימי חייך להביא לימות המשיח,56,7,547,547.0,1,1.0,0.017482517482517484,0.0,2060000002
ref-t.1.1.1.10.59-ref-t.1.1.1.10.65,ref-sifre-d.130.7.28-ref-sifre-d.130.7.41,2785,2825,ref-t.1.1.1.10.59,ref-t.1.1.1.10.65,166117,166183,ref-sifre-d.130.7.28,ref-sifre-d.130.7.41,בן זומא וכי מזכירין יציאת מצרים לימות ,בן זומא שנאמר למען תזכור את יום צאתך מארץ מצרים כל ימי חייך ימי ,7,14,549,547.0,3,3.0,0.5625,0.7333333333333334,2060000003
ref-t.1.1.1.14.50-ref-t.1.1.1.14.59,ref-sifre-d.357.40.56-ref-sifre-d.357.40.81,4189,4233,ref-t.1.1.1.14.50,ref-t.1.1.1.14.59,388701,388823,ref-sifre-d.357.40.56,ref-sifre-d.357.40.81,הן הן עד שלא נדבר עמהן והן הן משנדבר עמהן ,היה יודע אימתי היה מדבר שנא' ויודע דעת עליון משה לא היה מדבר עמו עד שהוא עומד שנ' ואתה פה עמוד עמדי ובלעם היה מדב' עמו ,10,26,1214,1214.0,4,4.0,0.7563025210084033,0.8888888888888888,2060000004
ref-t.1.1.1.15.72-ref-t.1.1.1.15.85,ref-sifre-d.352.7.33-ref-sifre-d.352.7.47,4656,4724,ref-t.1.1.1.15.72,ref-t.1.1.1.15.85,368952,369024,ref-sifre-d.352.7.33,ref-sifre-d.352.7.47,ויקרא אברהם את שם המקום ההוא ייי יראה אשר יאמר היום בהר ייי יראה ,ויקרא אברהם שם המקום ההוא ה' יראה הרי בנוי אשר יאמר היום בהר ה' יראה ,14,15,1181,1181.0,5,5.0,0.2608695652173913,0.2727272727272727,2060000005
ref-t.1.1.3.6.10-ref-t.1.1.3.6.25,ref-sifre-d.41.27.16-ref-sifre-d.41.27.31,10486,10563,ref-t.1.1.3.6.10,ref-t.1.1.3.6.25,72181,72265,ref-sifre-d.41.27.16,ref-sifre-d.41.27.31,וזימנין תלתא ביומא וגו' יכול כשבא לגולה ת'ל כל קבל די הוה עבד מן קדמת דנא ,וזמנין תלתא ביומא הוה בריך על ברכוהי ומודי קדם אלהא כל קבל דהוה עבידא מקדמת דנא ,16,16,104,104.0,6,6.0,0.3875,0.5263157894736843,2060000006
ref-t.1.1.3.14.5-ref-t.1.1.3.16.48,ref-sifre-d.29.5.30-ref-sifre-d.29.5.116,13046,13591,ref-t.1.1.3.14.5,ref-t.1.1.3.16.48,34482,35026,ref-sifre-d.29.5.30,ref-sifre-d.29.5.116,העיר הזאת העומדים בירושלם הופכים פניהם כנגד בית המקדש שנא' ויתפללו אל הבית הזה העומדים בבית המקדש מכוונים לבם כנגד בית קדשי הקדשים ומתפללים שנא' ויתפלל את המקום הזה נמצאו עומדים בצפון פניהם לדרום בדרום פניהם לצפון במזרח פניהם במערב במערב פניהם למזרח נמצאו כל ישראל מתפללים אל מקום אחד,העומדים בחוצה לארץ הופכים פניהם כנגד ארץ ישראל ומתפללים שנא' והתפללו אליך דרך ארצם העומדים בארץ ישראל הופכים פניהם כנגד בית המקדש ומתפללים שנא' והתפללו,91,25,42,42.0,7,7.0,0.6725352112676056,0.6875,2060000007
ref-t.1.1.4.18.40-ref-t.1.1.4.18.49,ref-sifre-d.348.1.26-ref-sifre-d.348.1.35,19943,19995,ref-t.1.1.4.18.40,ref-t.1.1.4.18.49,364750,364801,ref-sifre-d.348.1.26,ref-sifre-d.348.1.35,אשר חכמים יגידו ולא כחדו מאבתם להם לבדם נתנה הארץ ,אשר חכמים יגידו ולא כחדו מאבותם להם לבדם נתנה ארץ ,10,10,1177,1177.0,11,11.0,0.04,0.0,2060000008
ref-t.1.1.5.18.2-ref-t.1.1.5.18.13,ref-sifre-d.132.2.20-ref-sifre-d.132.2.34,23704,23773,ref-t.1.1.5.18.2,ref-t.1.1.5.18.13,167115,167203,ref-sifre-d.132.2.20,ref-sifre-d.132.2.34,שיכול לאכול כזית מזמנין עליו שאין יכול לאכול כזית אין מזמנין עליו ,ויכול לאכלו שוחטים אותו עליו ופעמים שם עשרה ואין יכולים לאכלו אין שוחטים אותו עליהם ,12,15,553,552.0,12,12.0,0.5476190476190477,0.8333333333333334,2060000009
ref-t.1.1.6.1.8-ref-t.1.1.6.1.33,ref-sifre-d.342.4.2-ref-sifre-d.342.4.15,27265,27395,ref-t.1.1.6.1.8,ref-t.1.1.6.1.33,353018,353088,ref-sifre-d.342.4.2,ref-sifre-d.342.4.15,וברכת זו ברכת הזימון את ייי אלהיך זו ברכה ראשנה על הארץ זו ברכת הארץ הטובה זו ירושלם שנא' ההר הטוב הזה והלבנון אשר נתן לך ,וזאת הברכה זה מוסף על ברכה ראשונה שברכו יעקב אביו וזאת אשר דבר להם ,26,14,1171,1171.0,13,13.0,0.6639344262295082,0.8076923076923077,2060000010
