baseOrig,compOrig,baseCharStart,baseCharEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,compOrder,grp-ref-bible,baseOrder,grp-ref-y,dam-lev,jac,lcs_len_char,lcs_str_char,lcc_distance,id
ref-y.1.1.1.1.4.14-ref-y.1.1.1.1.4.18,ref-bible.0310.4.10.7-ref-bible.310.4.10.11,1051,1088,ref-y.1.1.1.1.4.14,ref-y.1.1.1.1.4.18,1400049,1400085,ref-bible.0310.4.10.7,ref-bible.0310.4.10.11,עושים במלאכה וחציים מחזיקים ברמחים ,עשים במלאכה וחצים מחזיקים והרמחים ,5,5,2942,2942.0,1,0.0,0.11428571428571428,0.0,32,עשים במלאכה וחצים מחזיקים רמחים ,0.08571428571428574,7090000001
ref-y.1.1.1.1.4.13-ref-y.1.1.1.1.4.30,ref-bible.0310.4.15.1-ref-bible.310.4.16.16,1043,1162,ref-y.1.1.1.1.4.13,ref-y.1.1.1.1.4.30,1400443,1400603,ref-bible.0310.4.15.1,ref-bible.0310.4.16.16,ואנחנו עושים במלאכה וחציים מחזיקים ברמחים מעלות השחר עד צאת הכוכבי' וכתיב והיה לנו הלילה למשמר והיום למלאכה ,ואנחנו עשים במלאכה וחצים מחזיקים ברמחים מעלות השחר עד צאת הכוכבים גם בעת ההיא אמרתי לעם איש ונערו ילינו בתוך ירושלם והיו לנו הלילה משמר והיום מלאכה ,18,27,2943,2943.0,0,0.0,0.35135135135135137,0.5357142857142857,100,ואנחנו עשים במלאכה וחצים מחזיקים ברמחים מעלות השחר עד צאת הכוכבי תיב והי לנו הלילה משמר והיום מלאכה ,0.32432432432432434,7090000002
ref-y.1.1.1.1.15.32-ref-y.1.1.1.1.15.38,ref-bible.0101.19.22.16-ref-bible.0101.19.23.7,3942,3975,ref-y.1.1.1.1.15.32,ref-y.1.1.1.1.15.38,31990,32033,ref-bible.0101.19.22.16,ref-bible.0101.19.23.7,העיר צוער השמש יצא על הארץ ולוט בא צערה,העיר צוער השמש יצא על הארץ ולוט בא צערה,9,9,91,91.0,2,2.0,0.0,0.0,39,העיר צוער השמש יצא על הארץ ולוט בא צערה,0.0,7090000003
ref-y.1.1.1.1.18.19-ref-y.1.1.1.1.18.27,ref-bible.0301.103.21.1-ref-bible.301.103.22.4,4906,4948,ref-y.1.1.1.1.18.19,ref-y.1.1.1.1.18.27,1223967,1224021,ref-bible.0301.103.21.1,ref-bible.0301.103.22.4,ברכו את כל צבאיו בשלישית ברכו ה' כל מעשיו ,ברכו יהוה כל צבאיו משרתיו עשי רצונו ברכו יהוה כל מעשיו ,9,11,2607,2607.0,4,4.0,0.34545454545454546,0.5555555555555556,36,ברכו  כל צבאיו שישי ברכו ה כל מעשיו ,0.34545454545454546,7090000004
ref-y.1.1.1.1.18.33-ref-y.1.1.1.1.18.53,ref-bible.0301.134.1.1-ref-bible.301.134.3.3,4982,5090,ref-y.1.1.1.1.18.33,ref-y.1.1.1.1.18.53,1246257,1246371,ref-bible.0301.134.1.1,ref-bible.0301.134.3.3,שיר המעלות הנה ברכו את ה' כל עבדי ה' העומדים בבית ה' בלילות בשנייה שאו ידיכם קדש שלישית יברכך ה' מציון ,שיר המעלות הנה ברכו_את_יהוה כל עבדי יהוה העמדים בבית יהוה בלילות שאו ידכם קדש וברכו_את_יהוה יברכך יהוה מציון ,21,18,2657,2657.0,5,5.0,0.3211009174311927,0.35,83,שיר המעלות הנה ברכואתה כל עבדי ה העמדים בבית ה בלילות שאו ידכם קדש ת יברכך ה מציון ,0.23853211009174313,7090000005
ref-y.1.1.1.1.19.34-ref-y.1.1.1.1.19.40,ref-bible.0101.19.22.16-ref-bible.0101.19.23.7,5335,5368,ref-y.1.1.1.1.19.34,ref-y.1.1.1.1.19.40,31990,32033,ref-bible.0101.19.22.16,ref-bible.0101.19.23.7,העיר צוער השמש יצא על הארץ ולוט בא צערה,העיר צוער השמש יצא על הארץ ולוט בא צערה,9,9,92,92.0,6,6.0,0.0,0.0,39,העיר צוער השמש יצא על הארץ ולוט בא צערה,0.0,7090000006
ref-y.1.1.1.1.20.84-ref-y.1.1.1.1.20.95,ref-bible.0308.6.10.2-ref-bible.0308.6.10.18,5966,6030,ref-y.1.1.1.1.20.84,ref-y.1.1.1.1.20.95,1365250,1365343,ref-bible.0308.6.10.2,ref-bible.0308.6.10.18,המלך להמן מהר קח את הלבוש ואת הסוס כאשר דברת ועשה כן למרדכי היהודי היושב בשער המלך,המלך להמן מהר קח את הלבוש ואת הסוס כאשר דברת ועשה כן למרדכי היהודי היושב בשער המלך,17,17,2890,2890.0,8,8.0,0.0,0.0,82,המלך להמן מהר קח את הלבוש ואת הסוס כאשר דברת ועשה כן למרדכי היהודי היושב בשער המלך,0.0,7090000007
ref-y.1.1.1.1.20.84-ref-y.1.1.1.1.20.100,ref-bible.0308.6.12.1-ref-bible.308.6.12.6,5966,6054,ref-y.1.1.1.1.20.84,ref-y.1.1.1.1.20.100,1365488,1365518,ref-bible.0308.6.12.1,ref-bible.0308.6.12.6,ומרדכי יושב בשער המלך ואחר כך ויקח המן את הלבוש ואת הסוס ואחר כך וישב מרדבי אל ,וישב מרדכי אל שער המלך והמן ,17,6,2895,2894.0,10,8.0,0.7468354430379747,0.6428571428571428,22,ומרדכי  שער המלך והמן ,0.7215189873417722,7090000008
ref-y.1.1.1.1.20.105-ref-y.1.1.1.1.20.110,ref-bible.0308.8.15.1-ref-bible.308.8.15.6,6074,6111,ref-y.1.1.1.1.20.105,ref-y.1.1.1.1.20.110,1368464,1368501,ref-bible.0308.8.15.1,ref-bible.0308.8.15.6,ומרדכי יצא מלפני המלך בלבוש מלכות ,ומרדכי יצא מלפני המלך בלבוש מלכות ,6,6,2898,2898.0,11,11.0,0.0,0.0,34,ומרדכי יצא מלפני המלך בלבוש מלכות ,0.0,7090000009
ref-y.1.1.1.1.21.61-ref-y.1.1.1.1.21.75,ref-bible.0220.14.18.14-ref-bible.220.14.19.13,6458,6532,ref-y.1.1.1.1.21.61,ref-y.1.1.1.1.21.75,1147392,1147495,ref-bible.0220.14.18.14,ref-bible.0220.14.19.13,על חוג הארץ וכתיב וחוג שמים יתהלך וכתיב בחוקו חוג על פני תהום חוג חוג ,יהוה את הגוים_אשר_לא יעלו לחג את חג הסכות זאת תהיה חטאת מצרים וחטאת_כל_הגוים_אשר_לא יעלו לחג את חג ,15,17,2445,2445.0,12,12.0,0.7575757575757576,0.875,33,ו האר ות חג  ת תי ח י תהום וג חג ,0.6666666666666667,7090000010
